index	Column 1	recipient	sender	tosplit 2 2 1	toWD	tosplit 2 2 2
3108	Holzmann an Kuratorium der Zunz-Stiftung: o.O., 15.01.1926	Kuratorium der Zunz-Stiftung	Holzmann	o.O.	o.O.	 15.01.1926
3113	"Holzmann, Michael / Ben-Yahuda, Elieser. Gutachten von Michael Holzman über ""Dictionnaire de la langue hébraique ancienne et moderne"" von Eliezer Ben-Jehouda: o.O., o.D."			o.O.	o.O.	 o.D.
3116	Hommel, Eberhard an Elbogen, Ismar / Kuratorium der Zunz-Stiftung: Burtenbach, 14.10.1920	Elbogen, Ismar / Kuratorium der Zunz-Stiftung	Hommel, Eberhard	Burtenbach	Burtenbach	 14.10.1920
3117	Hommel, Eberhard an Wassermann, Oskar / Kuratorium der Zunz-Stiftung: Schönblick bei Schwäbisch Gmünd, 10.01.1921	Wassermann, Oskar / Kuratorium der Zunz-Stiftung	Hommel, Eberhard	Schönblick bei Schwäbisch Gmünd	Schönblick bei Schwäbisch Gmünd	 10.01.1921
3118	"Hommel, Eberhard / Hommel, Eberhard. Anmeldung für Eberhard Hommels Buch ""Untersuchung zur hebräischen Lautlehre"": o.O., 1919"			 o.O.	 o.O.	 1919
3156	Jellinek, Adolph an Liebermann, Felix: Baden, 05.09.1889	Liebermann, Felix	Jellinek, Adolph	Baden	Baden	 05.09.1889
3216	Kaufmann, David an Kuratorium der Zunz-Stiftung: Kojetein, 02.07.1889	Kuratorium der Zunz-Stiftung	Kaufmann, David	Kojetein	Kojetein	 02.07.1889
3224	Kaufmann, David an Neumann, Salomon / Back, Samuel: Karlsbad, 03.08.1893	Neumann, Salomon / Back, Samuel	Kaufmann, David	Karlsbad	Karlsbad	 03.08.1893
3225	Kaufmann, David / Bacharach, Jakob ben Mose an Kuratorium der Zunz-Stiftung: Karlsbad, 27.06.1894	Kuratorium der Zunz-Stiftung	Kaufmann, David / Bacharach, Jakob ben Mose	Karlsbad	Karlsbad	 27.06.1894
3226	Kaufmann, David an Liebermann, Felix / Bacharach, Jakob ben Mose: Karlsbad, 02.07.1894	Liebermann, Felix / Bacharach, Jakob ben Mose	Kaufmann, David	Karlsbad	Karlsbad	 02.07.1894
3233	Kaufmann, David an Neumann, Salomon: Karlsbad, 19.07.1898	Neumann, Salomon	Kaufmann, David	Karlsbad	Karlsbad	 19.07.1898
3251	Kayserling, Meyer. Liste von der Biblioteca espanola-portugueza Judaica: o.O.			o.O.	o.O.	
3254	Kiefe, Dora an Elbogen, Ismar: Berlin-Dahlem, 23.03.1936	Elbogen, Ismar	Kiefe, Dora	Berlin-Dahlem	Berlin-Dahlem	 23.03.1936
3269	Kirschstein, Moritz an Neumann, Salomon: o.O., 06.08.1872	Neumann, Salomon	Kirschstein, Moritz	o.O.	o.O.	 06.08.1872
3277	Kirschstein, Moritz an Steinschneider, Moritz: o.O., o.D.	Steinschneider, Moritz	Kirschstein, Moritz	o.O.	o.O.	 o.D.
3299	Kirschstein, Moritz / Geiger, Abraham / Lazarus, Moritz. Notizen über Abraham Geiger und Moritz Lazarus: o.O., 17.09.1874			 o.O.	 o.O.	 17.09.1874
3307	Klein, Samuel an Kuratorium der Zunz-Stiftung: Tuzla, 22.03.1910	Kuratorium der Zunz-Stiftung	Klein, Samuel	Tuzla	Tuzla	 22.03.1910
3308	Klein, Samuel an Liebermann, Felix: Tuzla, 18.09.1910	Liebermann, Felix	Klein, Samuel	Tuzla	Tuzla	 18.09.1910
3309	Klein, Samuel an Kuratorium der Zunz-Stiftung: Nové Zámky, 05.01.1919	Kuratorium der Zunz-Stiftung	Klein, Samuel	Nové Zámky	Nové Zámky	 05.01.1919
3310	Klein, Samuel an Kuratorium der Zunz-Stiftung: Nové Zámky, 16.03.1921	Kuratorium der Zunz-Stiftung	Klein, Samuel	Nové Zámky	Nové Zámky	 16.03.1921
3312	Klein, Samuel an Kuratorium der Zunz-Stiftung: Érse Kújvár, o.D.	Kuratorium der Zunz-Stiftung	Klein, Samuel	Érse Kújvár	Érse Kújvár	 o.D.
3313	Klein, Samuel an Sussnitzki, Alphons J.: Érse Kújvár, 23.04.1918	Sussnitzki, Alphons J.	Klein, Samuel	Érse Kújvár	Érse Kújvár	 23.04.1918
3314	Klein, Samuel an Kuratorium der Zunz-Stiftung: Érse Kújvár, 31.05.1918	Kuratorium der Zunz-Stiftung	Klein, Samuel	Érse Kújvár	Érse Kújvár	 31.05.1918
3317	Kluge, Walter / Zunz-Stiftung <Berlin>. Aufstellung für die Zunzstiftung: o.O., o.D.			 o.O.	 o.O.	 o.D.
3325	Kobner, Moritz / Samtheym, ... / Brüll, Nehemias / Baerwald, Hermann / Graetzer, Jonas / Jellinek, Adolph / Kuratorium der Zunz-Stiftung / S. Friedeberg Söhne. sieben Quittungen: Leipzig;Hannover;Frankfurt am Main;Breslau;Wien, 1875			Leipzig;Hannover;Frankfurt am Main;Breslau;Wien	Leipzig;Hannover;Frankfurt am Main;Breslau;Wien	1875
3328	Kohn, ... (Rabbiner) an Neumann, Salomon: Jnowrazlaw, 03.09.1886	Neumann, Salomon	Kohn, ... (Rabbiner)	Jnowrazlaw	Jnowrazlaw	 03.09.1886
3353	Kuk, Avraham Yitshak ha-Kohen / Berlin, Chaim / Bacher, Wilhelm / Dalman, Gustaf / Lûns, Avraham Mose. Gutachten für Abraham Moses Luncz: o.O., o.D.			o.O.	o.O.	 o.D.
3383	Landau, E . an Neumann, Salomon / Kuratorium der Zunz-Stiftung: Weilburg a.d. Lahn, 14.09.1894	Neumann, Salomon / Kuratorium der Zunz-Stiftung	Landau, E .	Weilburg a.d. Lahn	Weilburg a.d. Lahn	 14.09.1894
3384	Landau, Richard an Neumann, Salomon: Frankenberg, 02.06.1895	Neumann, Salomon	Landau, Richard	Frankenberg	Frankenberg	 02.06.1895
3385	Landau, Richard an Neumann, Salomon: Frankenberg, 13.06.1895	Neumann, Salomon	Landau, Richard	Frankenberg	Frankenberg	 13.06.1895
3386	Landau, Richard an Neumann, Salomon: Frankenberg, 09.08.1895	Neumann, Salomon	Landau, Richard	Frankenberg	Frankenberg	 09.08.1895
3418	Lazarus, Moritz an Neumann, Salomon: Meran, 29.09.1902	Neumann, Salomon	Lazarus, Moritz	Meran	Meran	 29.09.1902
3419	Lazarus, Moritz an Barol, Moses: Meran, 10.12.1901	Barol, Moses	Lazarus, Moritz	Meran	Meran	 10.12.1901
3421	Lazarus, Nahida Ruth an Kuratorium der Zunz-Stiftung: Meran, 18.09.1924	Kuratorium der Zunz-Stiftung	Lazarus, Nahida Ruth	Meran	Meran	 18.09.1924
3430	Lazarus, Moritz an Liebermann, Felix: Merano, 09.10.1899	Liebermann, Felix	Lazarus, Moritz	Merano	Merano	 09.10.1899
3431	Lazarus, Moritz an Liebermann, Felix: Meran, 17.10.1899	Liebermann, Felix	Lazarus, Moritz	Meran	Meran	 17.10.1899
