title;first name;last name;jub;issue_date;other;nachruf/tode;Geburt/Tod
Dr.;Arthur;Freund;-;-;Nachr.24.12.65;-;-
Dr.;Erich;Frey;-;-;Nachr.24.4.64;-;-
-;Edw.M.;Frischauer;-;-;Nachr.51.1.64;-;-
-;Erich;Fromm;-;-;Rez.25.8.65(MGerson);-;-
-;Robert;Frost;-;-;Nachr.15.2.65;-;poet
-;Ludwig;Fulda;-;-;Gdenkausstellg.Frankft.7.9.62(1862-1959);-;-
-;John;Galsworthy;-;-;Rez.Biogr.29.3.63(Arnold);-;-
-;Sail;Geis;-;-;Nachr.22.2.63;-;-
Dr.;N.M.;Gelber;-;-;7o:7.8.64;-;-
-;Zvi;Gelles;-;-;Nachr.20.12.63;-;-
-;Stefan	g.u.Judentm;George;-;5.4.63;Kraft)  auch:8.4.60)  s.Jüd.Rundsch.22.12.33);-;-
Dr.;Eugen;Gerstenmaier;-;23.11.62;in  Israel;-;-
-;Ephraim;Ginsberg;-;-;Gedenknot.11.5.62;-;-
-;Karl;Glaser;-;-;Nachr.29.1.65(WFischer);-;-
Prof.;N.N.;Glatzer;-;-;6o:22.3.63(Wilhelm);-;-
Dr.;Nahum;Goldmann;-;17.5.63;Rede  (geb.10.7.1895);-;-
Dr.;Daniel;Goldschmidt;-;-;7o:31.12.65	.;-;-
Dr.;Nax;\^Goldschmidt;-;-;lodanz.16.2.62—<	4  T-t  ?>  (  H  U  O;-;-
-;Aron;Gordon;-;23.2.62;David  4o.Todestg  HBergman);-;-
-;Hermann;Goering;-;-;Biogr.il.1.63;-;-
-;Erich;Gottgetreu;-;9.8.63;6o:;-;-
-;Martha;Graham/;-;2.11.62;Kritik  Geis);-;Tänzerin
Dr.;Abr.;Granot;-;-;Nachr.27.7.62;-;-
-;J.L.;Grasowsky;-;9.2.62;loo.Geburtstg;-;-
Prof.;Heinr.;Graetz;-;6.9.63;Briefe  an  MHess  Bato)  1817-1891);-;-
-;Sammy;Gronemann;-;-;lo.Todestg.23.3«62(Geis);-;-
-;Kurt;Grossmann;65;18.5.62;R.;-;-
Dr.;Benjamin;Grzebinasch;-;-;Nachr.21.5•65;-;-
-;Simon;Gruenewald;-;-;Nachr.18.5.62;-;-
Rabb.;Max;Grünewald;-;9.4.65;4o.Jubiläum  MK);-;-
Dr.;M.J.;Gutmann;-;29.6.62;l.Todestg;-;-
-;Jacob;Haarpuder;-;-;Todanz.18.lo.63;-;-
-;David;Hacohen;-;-;Rez.27.12.63(Gh);-;-
Dr.;Kurt;Hahn;-;7.2.64;;-;-
-;Toni;Halle;-;-;Hachr.14.8.64;-;-
Dr.;Georg;Halpern;-;-;Nachr.1.6.62;-;-
-;Dag;Hammarskjoeld;-;11.1.63;H  u.Buber;-;-
-;Abr.;Haft;-;-;Nachr.15.1.65;-;-
-;Josephine;Handler;-;-;Else  Nachr.23.11.62;-;-
Dr.;Arthur;Hantke;-;29.10.65;lo.Todestg;-;-
-;Gerhart;Hauptmann;-;6.4.62;loo.Geburtstg;-;-
-;Jakob;Hegner;-;-;Nachr.26.lo.62;-;-
-;Max;Hecker;-;-;M.  Nachr.lo.7.64(Herlitz);-;-
-;;Heine;-;16.4.62;He  inrich  FamilienHaggada  (Braun);-;-
-;Sir;Henriques;-;-;Basil  Nachr.5.1.62(EG1>);-;-
Dr.;Georg;Herlitz;-;-;8o:12.3.65(FrMeyer,ESimon);-;-
-;Theodor;Herzl;-;-;Rez.Famgesch.15.11.63(Braun);-;-
-;Artur;Herzog;-;29.3.63;7o:;-;-
-;Robert;Hess;-;-;Nachr.3o.11.62(Elk);-;-
-;Hermann;Hesse;-;6.7.62;H-Archiv;-;-
Prof.;Th.;Heuss;-;-;Nachr.2o.12.63;-;-
Rabb.;Egriel;Hildesheimer;-;11.5.62;(Briefe  gesucht);-;-
-;Kurt;Hiller;-;-;8o:2o.8.65(Freeden);-;-
-;Paul;Hindemith;-;-;Nachr.Io.1.64(Seelfr);-;-
-;Charlotte;Hirsch;-;-;Nachr.1.11.63(Wilhelm);-;-
Dr.;Salli;Hirsch;-;-;in  memor(8o.Geburtg)2.7.65(SM);-;-
-;Leo;Hirsch;-;2.11.62;Notiz;-;-
-;Martin;Hirsch;-;24.5.63;in  TelAviv;-;ßonn
-;Emmy;Hirschberg;-;-;8o:19.2.65(MTP);-;-
-;Rolf;Hoohhuth;-;19.4.63;Stellvertreter  HT);-;-
-;Martha;Hofmann;-;-;7o:  26,11.65;-;-
-;Rosa;Holde;-;-;Nachr.17.9.65;-;-
Dr.;Gerhard;Holdheim;-;23.11.62;7o:  PHirsch);-;-
-;Ricarda;Huch;-;17.7.64;(1864-1947);-;-
Dr.;Erich;Hurwitz;-;3.5.63;2.Todestg;-;-
-;Rafael;Hurwitz;-;-;Todanz.8.3.63;-;-
-;Max;Hurwitz;-;-;Nachr.5.3.65;-;-
-;Abr.Adolf;Israeli(Israelski);-;-;Nachr.21.12.62;-;-
Dr.;Josef;Jacobsohn;-;-;6o:8.5.64;-;-
Dr.;Jacob;Jacobsohn;-;-;7o:22.11.63  (ST);-;-
Prof.;Karl;Jaspers;-;2.9.6o;Gespräch;-;-
-;Jewgeni;Jewtuschenko;-;29.6.62;Babi  Jar  EMayer);-;-
Prof.;Karl;Joel;-;27.7.34.;"(1864-1934)""Jiid.Rundschau""  u.27.11.34";-;-
Dr.;Giora;Josephtai;-;-;Nachr.31.8.62(Lotan);-;-
Dr.;Adolf;Juda;-;-;8o:2.3.62;-;-
Dr.;Max;Jungmann;-;2.4.65;90:  EAuerbach);-;-
Dr.;Schlomo;Juliusburger;-;-;Nachr.3o.4.65;-;-
Dr.;Leo;Kadman;-;-;Nachr.lo.l.64(Preuss);-;-
-;Franz;Kafka;-;16.4.62;Betrachtungen  Kraft);-;1885-1924
Prof.;Paul;Kahle;-;-;Nachr.5o.Io.64;-;-
Dr.;Paul;Kahn;-;-;Nachr.20.5.64;-;-
Dr.;Siegfried;Kanowitz;-;-;l.Todestg  lo.8.62(BC);-;-
Dr.;Ch.J.;Kapralik;-;-;7o:  5o.4.65(ht);-;-
-;Ktharina;Kardorff-Oheimb;-;-;v.  Nachr.6.4.62;-;-
-;Shmuel;Katz;-;14.9.62;Würdigung  (HStrauss);-;-
Dr.;Julius;Kaufmann;-;-;Nachr.2.4.65;-;-
