first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
Eva;Samuel;-;Geburtstag(FX)  2?.11.74;-;-;-;-;MBNR.7.PER.122
Salman;Schasar;18.10.74;Tolkes;-;Nachruf;-;-;MBNR.7.PER.123
Simon;Schocksn;-;1l000.Geburtstag(GSchocken)?2.11.74;-;-;-;-;MBNR.7.PER.124
Gershom;Scholen;5.4.74;Judaica  III  rez.E.Simon;-;-;-;-;MBNR.7.PER.125
Arnold;Schonberg;23.11.73;Gdenkfeier  Wien;-;-;-;-;MBNR.7.PER.126
Franz;Schüurfalz;30.38.74;80  ER;Dr.;-;-;-;MBNR.7.PER.127
(OB;Schütz;-;Berlin),Klaus  in  Israel(Zoller)15.2.74;-;-;-;-;MBNR.7.PER.128
Karl;Schwagsr;15.2.7?h;Peminriszenzen  1934;-;-;-;-;MBNR.7.PER.129
Enzo;Sereni;-;Biogr.rez.Capell  26.h.74;-;-;-;-;MBNR.7.PER.130
@rnst;Simön;15.3.7;A.  75  (Kraft);-;-;-;-;MBNR.7.PER.131
Mosche;Smilarski;8.3.74;l0o00.Geburtstag(GStern);-;-;-;-;MBNR.7.PER.132
Alexander;Solschen$fz#n;1.2.7;Gulag;-;-;-;-;MBNR.7.PER.133
Man®s;Sperber;15.2.74;HabimahAuffg.rez.Geis;-;-;-;-;MBNR.7.PER.134
Lisa;Steinberg;13.12.74;Jacob;-;Nachruf;-;-;MBNR.7.PER.135
Arthur;Stern;16.11.73;LNelken;Dr.;Nachruf;-;-;MBNR.7.PER.136
Erich;Sternberg;27.12.74;Walter  Nachr.Gradenwitz;-;-;-;-;MBNR.7.PER.137
Frieda;Sternberg;1.2.74;830  (Scholem);-;-;-;-;MBNR.7.PER.138
Hans;Sternberg;15.11.74;;-;Nachruf;-;-;MBNR.7.PER.139
Heinrich;Strauss;-;75(G0ttgetreu)23.8.74;Dr.;-;-;-;MBNR.7.PER.140
David;Taubes;12.4.7;Yürdigung(90);-;-;-;-;MBNR.7.PER.141
Ludwig;Tietz;22.3.7,;40.Todestag(Horn);-;-;-;-;MBNR.7.PER.142
Saul;Tschernichowsky;-;üb.Deutschland(Tobias)1.11.74;-;-;-;-;MBNR.7.PER.143
Kurt;Tuchler;6.17.74;8O  Capell;-;-;-;-;MBNR.7.PER.144
N.H.;Tur-Sinai(Torczyner);16.11.73;Nachr.”R;-;-;-;-;MBNR.7.PER.145
Chemjo;Vinaver;28.12.73;Nachr.HT;-;-;-;-;MBNR.7.PER.146
Jakob;Wassermann;-;Nachlass.26.7.74;-;-;-;-;MBNR.7.PER.147
Wolfgang;Weisl;5.4.74;v.(+gest.21.IT)}Nachruf  TR;-;-;-;-;MBNR.7.PER.148
Felix;Weltsch;8.9.74;l10.Todestag  HT;-;-;-;-;MBNR.7.PER.149
Israel;Werczberger;8.3.74;(+3.1II)Nachr.E.Simon;-;-;-;-;MBNR.7.PER.150
Franz;YWerfel;21.6.74;"""Nachlass.Notiz";-;-;-;-;MBNR.7.PER.151
Hans{+30.X);Wolffheim;7.12.73;Nachr.HT;-;-;-;-;MBNR.7.PER.152
Nathan;Yellin-Mor;9.8.74;FErinnergn.rez.Tobias;-;-;-;-;MBNR.7.PER.153
Schlomo;Zemach;-;Autobiogr.rez.lobias  ?9.11.74;-;-;-;-;MBNR.7.PER.154
