first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
;Schelitzer;19.11.32;Walter  tachr.Atlasz;-;-;-;-;MBNR.10.PER.93
;Scherek;19.3.82;Alfred  schloschim..;-;-;-;-;MBNR.10.PER.94
Arthur;Schnitzler;5.6.81;50.Todestg.;-;-;-;-;MBNR.10.PER.95
Wolfdietr.;Schnurre;23.4.82;"""Unglücksfall""  SBC";-;-;-;-;MBNR.10.PER.96
;Schocken;1.10.82;Gershom  70  RW;-;-;-;-;MBNR.10.PER.97
;Scholen;-;Prof,.Gershom(Tavor  1977  z.80.Gehurtstg,hier  els  Nachruf)26.2.82;-;-;-;-;MBNR.10.PER.98
klaun(Rotschafter;Schlitz;3.4.81;geht)  Gottgetreu;-;-;-;-;MBNR.10.PER.99
Artur;Schragmeheim;-;Traueranz.29.5.81;-;-;-;-;MBNR.10.PER.100
Walter;Schwarz;13.2.81;75  /Rez.Autobiogr.6.11.81;Dr.;-;-;-;MBNR.10.PER.101
Arthur;Silbergleit;3.7.81;nach  100  Jahren  EGL;-;-;-;-;MBNR.10.PER.102
Alphons;Silbermann;11.6.82;Antisenitisms  in  BRD;-;-;-;-;MBNR.10.PER.103
krmst;Simon;25.9.8;A.,Zweifel  nach  Auschwitz(Interview);-;-;-;-;MBNR.10.PER.104
JLeopold;Sonnemann;27.11.81;150.Geburt::tag  EtL;-;-;-;-;MBNR.10.PER.105
;Stern-T4ubler;11.9.81;Selma  llachr.Grueneswald;-;-;-;-;MBNR.10.PER.106
;Sternberg;9.7.82;Dr,  Sinai,  Neswoiren(  Tobias);-;-;-;-;MBNR.10.PER.107
Joachim;Stutschewskg;3.12.82;90  (Gradenwitz)20.2.81  /Nachruf  Gradenuitz;-;-;-;-;MBNR.10.PER.108
Shabtal:Arlosoroff;Tewet;5.4.82;iord  (Tobias);-;-;-;-;MBNR.10.PER.109
.Otto;Tiplitz;-;Prof  .Otto;Prof.;-;-;-;MBNR.10.PER.110
!!argarete;Turnowsky-Pinner;29.1.82;;-;-;-;-;MBNR.10.PER.111
Norhe;Urna;3.12.82;80  (Rosenthal);-;-;-;-;MBNR.10.PER.112
Lesser;Ury;13.11.81;50.Todestag  EtI,;-;-;-;-;MBNR.10.PER.113
Alexander;Valk;11.6.82;90;Dr.;-;-;-;MBNR.10.PER.114
;Wallenberg;16.1.21;Raoul-Afffe  Gottgetreu;-;-;-;-;MBNR.10.PER.115
;warburg;10.7.8;Frederic  liachr.E6L;-;-;-;-;MBNR.10.PER.116
Gotthold;weil;21.5.82;E.(1832-1960)  Rothschild;Prof.;-;-;-;MBNR.10.PER.117
;Weintraub;5.6.81;Shmuel  Traueranz.;-;-;-;-;MBNR.10.PER.118
;Weiss;4.9.81;Pernhard(Gest.1951)  Gottgetreu;Dr.;-;-;-;MBNR.10.PER.119
Ezer;Yeizman;4.9.81;Autobiogr.(Capell);-;-;-;-;MBNR.10.PER.120
Robert;Weltsch;-;90(  Sonderheft:Kanowitz/Faucker/Luft/simonfPazi/clatzer;Dr.;-;-;-;MBNR.10.PER.121
Nax;Wiener;27.5.82;100.Geburtstg  (Rosenbltth);-;-;-;-;MBNR.10.PER.122
Jeshaja;Yolfeberg(Aviad;1.10.82;0.  25.Todestg(Rosenblüth);-;-;-;-;MBNR.10.PER.123
liax;Zweir;16.7.82;90  (Penchorin);-;-;-;-;MBNR.10.PER.124
Stefan;Zuweis;21.3.81;(Studien  Uni  Jerusalem);-;-;-;-;MBNR.10.PER.125
