title;first name;last name;jub;issue_date;other;nachruf/tode;Geburt/Tod
Prof.;N.N.;Glatzer;-;-;6o:22.3.63(Wilhelm);-;-
Dr.;Nahum;Goldmann;-;17.05.1963;Rede  (geb.10.7.1895);-;-
Dr.;Daniel;Goldschmidt;-;-;"7o:31.12.65	.";-;-
Dr.;Max;Goldschmidt;-;-;"lodanz.16.2.62â€”<	4  T-t  ?>  (  H  U  O";-;-
;;Goldstein;;;;;
-;Aron David;Gordon;-;23.02.1962;David  4o.Todestg  HBergman);-;-
-;Hermann;Goering;-;-;Biogr.il.1.63;-;-
-;Erich;Gottgetreu;-;09.08.1963;6o:;-;-
-;Martha;Graham;-;02.11.1962;Kritik  Geis);-;TÃ¤nzerin
Dr.;Abr.;Granot;-;-;Nachr.27.7.62;-;-
-;J.L.;Grasowsky;-;09.02.1962;loo.Geburtstg;-;-
Prof.;Heinrich;Graetz;-;06.09.1963;Briefe  an  MHess  Bato)  1817-1891);-;-
-;Sammy;Gronemann;-;-;lo.Todestg.23.3Â«62(Geis);-;-
-;Kurt;Grossmann;65;18.05.1962;R.;-;-
Dr.;Benjamin;Grzebinasch;-;-;Nachr.21.5â€¢65;-;-
-;Simon;Gruenewald;-;-;Nachr.18.5.62;-;-
Rabb.;Max;Grünewald;-;09.04.1965;4o.JubilÃ¤um  MK);-;-
Dr.;M.J.;Gutmann;-;29.06.1962;l.Todestg;-;-
-;Jacob;Haarpuder;-;-;Todanz.18.lo.63;-;-
-;David;Hacohen;-;-;Rez.27.12.63(Gh);-;-
Dr.;Kurt;Hahn;-;07.02.1964;;-;-
-;Toni;Halle;-;-;Hachr.14.8.64;-;-
Dr.;Georg;Halpern;-;-;Nachr.1.6.62;-;-
-;Dag H.;Hammarskjoeld;-;11.01.1963;H  u.Buber;-;-
-;Abr.;Haft;-;-;Nachr.15.1.65;-;-
-;Josephine Else;Handler;-;-;Else  Nachr.23.11.62;-;-
Dr.;Arthur;Hantke;-;29.10.1965;lo.Todestg;-;-
-;Gerhart;Hauptmann;-;06.04.1962;loo.Geburtstg;-;-
-;Jakob;Hegner;-;-;Nachr.26.lo.62;-;-
-;Max M.;Hecker;-;-;M.  Nachr.lo.7.64(Herlitz);-;-
-;Heinrich;Heine;-;16.04.1962;He  inrich  FamilienHaggada  (Braun);-;-
-;Basil;Henriques;-;-;Basil  Nachr.5.1.62(EG1>);-;-
Dr.;Georg;Herlitz;-;-;8o:12.3.65(FrMeyer,ESimon);-;-
-;Theodor;Herzl;-;-;Rez.Famgesch.15.11.63(Braun);-;-
-;Artur;Herzog;-;29.03.1963;7o:;-;-
-;Robert;Hess;-;-;Nachr.3o.11.62(Elk);-;-
-;Hermann;Hesse;-;06.07.1962;H-Archiv;-;-
Prof.;Theodor;Heuss;-;-;Nachr.2o.12.63;-;-
Rabb.;Esriel;Hildesheimer;-;11.05.1962;(Briefe  gesucht);-;-
-;Kurt;Hiller;-;-;8o:2o.8.65(Freeden);-;-
-;Paul;Hindemith;-;-;Nachr.Io.1.64(Seelfr);-;-
-;Charlotte;Hirsch;-;-;Nachr.1.11.63(Wilhelm);-;-
Dr.;Salli;Hirsch;-;-;in  memor(8o.Geburtg)2.7.65(SM);-;-
-;Leo;Hirsch;-;02.11.1962;Notiz;-;-
-;Martin;Hirsch;-;24.05.1963;in  TelAviv;-;ÃŸonn
