first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
Fritz;Heinemann;21.2.69;80;-;-;-;-;MBNR.5.PER.86
Georg;Herlitz;27.12.68;Nachruf(HT);-;-;-;-;MBNR.5.PER.87
Seew;Herzberg;25.10.68;Wilhelm  Pionier  d.Alija(Swolf);-;-;-;-;MBNR.5.PER.88
Manfred;Herzfeld;15.11.68;Nachruf(Katzenstein);-;-;-;-;MBNR.5.PER.89
Hermann;Hesse;7.3.69;-Brief  üb.Buber;-;-;-;-;MBNR.5.PER.90
Hugo;lofmannsthal;4.10.68;v.  -  H-Gesellschaft  Frakft.;-;-;-;-;MBNR.5.PER.91
;Horn;3.1.69;Pau}  Havana  Tertil  u.BibellER);-;-;-;-;MBNR.5.PER.92
Ludwig;Jacobowski;5.7.68;"z.barstellg  v."".B.Stern";-;-;-;-;MBNR.5.PER.93
Jacob;Jacobson;10.1.69;kKezens.Juden  Berlins(Brilling);-;-;-;-;MBNR.5.PER.94
Franz;Kafka;21.2.69;"-""Schloss""Film  Newfork";-;-;-;-;MBNR.5.PER.95
Erich;Kahler;18.7.69;Fhrendoktor  Princeton;-;-;-;-;MBNR.5.PER.96
Haviv;Kanaan;26.7.68;"Rezens.""Templer""(SBraun)";-;-;-;-;MBNR.5.PER.97
Erich;Kästner;21.2.69;70(Gottgetreu);-;-;-;-;MBNR.5.PER.98
Kurt;Katsch;5.9.69;Memoiren;-;-;-;-;MBNR.5.PER.99
Richard;Katz;1.11.68;80;-;-;-;-;MBNR.5.PER.100
Rahel;Haufmann;18.4.69;“achruf;-;-;-;-;MBNR.5.PER.101
Lise;Kaznelson-Weltsch;1.8.69;80  (Hl);-;-;-;-;MBNR.5.PER.102
Hermann;Kesten;31.10.69;Calabria  Preis;-;-;-;-;MBNR.5.PER.103
Grete;Kestenberg;7.11.69;;-;Nachruf;-;-;MBNR.5.PER.104
Ruth;Kestenberg-Gladstein;22.5.69;KRezens.Juden  Böhmens;-;-;-;-;MBNR.5.PER.105
Bruno;Kirschner;4.7.69;Kezens.öspottmedaillen(Strauss);-;-;-;-;MBNR.5.PER.106
Wilhelm;Kleemann;18.4.69;Lodesnachricht;-;-;-;-;MBNR.5.PER.107
Walther;Kohner;22.11.68;liachruf;-;-;-;-;MBNR.5.PER.108
Werner;Kraft;29.8.69;kezens.Rebellen  d.Geistes(Hl);-;-;-;-;MBNR.5.PER.109
G.;Kressel;3.1.69;Rezens.Lexikon(Freudenberger);-;-;-;-;MBNR.5.PER.110
Abraham;Krinizi;21.11.69;;-;Nachruf;-;-;MBNR.5.PER.111
Jakob;Krochmal;18.4.69;;-;Todesanzeige;-;-;MBNR.5.PER.112
Helga;Krohn;5.9.69;lezens,.Gesch.Hamburger  Juden;-;-;-;-;MBNR.5.PER.113
Aenne;Kurowski-Schmitz;21.3.69;;-;-;-;-;MBNR.5.PER.114
Josef;lLamm;6.6.69;-RKuhestand;-;-;-;-;MBNR.5.PER.115
Jacob;Landau;1.8.69;"M.  Rezens.""Arabs  in  Israel""";-;-;-;-;MBNR.5.PER.116
Lola;Landau;26.12.69;Gedichte(Hl);-;-;-;-;MBNR.5.PER.117
